id,created_at,lead_id,sustatus_id,hostel_id,cityid
86,20-03-2023 20:27,1004,8,3118,14
87,22-03-2023 04:25,1004,9,3118,14
88,23-03-2023 23:48,1004,10,3118,14
89,25-03-2023 09:00,1004,11,3118,14
90,25-03-2023 15:00,1004,12,3118,14
91,26-03-2023 19:09,1004,13,3118,14
92,28-03-2023 08:23,1004,14,3118,14
93,28-03-2023 19:39,1004,15,3118,14
94,30-03-2023 06:16,1004,16,3118,14
95,01-04-2023 02:10,1004,17,3118,14
105,10-03-2023 11:40,1005,1,NULL,17
106,12-03-2023 05:20,1005,2,NULL,17
107,13-03-2023 06:25,1005,3,NULL,17
108,14-03-2023 02:19,1005,4,NULL,17
109,14-03-2023 19:04,1005,5,3131,17
110,16-03-2023 17:50,1005,6,3131,17
111,18-03-2023 17:36,1005,7,3131,17
112,20-03-2023 11:28,1005,8,3131,17
113,21-03-2023 21:56,1005,9,3131,17
114,22-03-2023 20:48,1005,10,3131,17
115,23-03-2023 13:02,1005,11,3131,17
116,24-03-2023 16:05,1005,12,3131,17
117,25-03-2023 14:01,1005,13,3131,17
118,27-03-2023 12:47,1005,14,3131,17
119,29-03-2023 01:54,1005,15,3131,17
120,29-03-2023 13:28,1005,16,3131,17
131,10-03-2023 12:07,1006,1,NULL,16
132,11-03-2023 06:10,1006,2,NULL,16
133,11-03-2023 07:09,1006,3,NULL,16
134,11-03-2023 17:38,1006,4,NULL,16
135,12-03-2023 10:23,1006,5,3130,16
136,14-03-2023 07:09,1006,6,3130,16
137,15-03-2023 08:32,1006,7,3130,16
138,16-03-2023 05:19,1006,8,3130,16
139,17-03-2023 04:54,1006,9,3130,16
140,17-03-2023 13:15,1006,10,3130,16
141,17-03-2023 17:23,1006,11,3130,16
142,18-03-2023 16:34,1006,12,3130,16
143,19-03-2023 08:15,1006,13,3130,16
144,20-03-2023 07:20,1006,14,3130,16
157,07-03-2023 16:29,1007,1,NULL,15
158,09-03-2023 13:50,1007,2,NULL,15
159,09-03-2023 20:31,1007,3,NULL,15
160,11-03-2023 09:14,1007,4,NULL,15
161,12-03-2023 05:58,1007,5,3125,15
162,13-03-2023 10:49,1007,6,3125,15
163,13-03-2023 12:21,1007,7,3125,15
164,14-03-2023 06:03,1007,8,3125,15
165,14-03-2023 06:31,1007,9,3125,15
166,14-03-2023 17:38,1007,10,3125,15
167,16-03-2023 05:14,1007,11,3125,15
168,16-03-2023 07:10,1007,12,3125,15
169,16-03-2023 20:58,1007,13,3125,15
170,18-03-2023 05:41,1007,14,3125,15
171,18-03-2023 20:26,1007,15,3125,15
172,19-03-2023 19:54,1007,16,3125,15
173,20-03-2023 18:40,1007,17,3125,15
174,20-03-2023 19:00,1007,18,3125,15
175,21-03-2023 10:14,1007,19,3125,15
176,21-03-2023 22:42,1007,20,3125,15
177,22-03-2023 12:44,1007,21,3125,15
178,24-03-2023 02:18,1007,22,3125,15
179,24-03-2023 11:55,1007,23,3125,15
180,25-03-2023 06:20,1007,24,3125,15
181,27-03-2023 03:26,1007,25,3125,15
182,28-03-2023 23:46,1007,26,3125,15
183,29-03-2023 13:46,1008,1,NULL,11
184,30-03-2023 11:45,1008,2,NULL,11
185,01-04-2023 08:39,1008,3,NULL,11
186,01-04-2023 11:43,1008,4,NULL,11
187,02-04-2023 10:34,1008,5,3108,11
188,03-04-2023 14:56,1008,6,3108,11
189,04-04-2023 21:06,1008,7,3108,11
190,04-04-2023 23:53,1008,8,3108,11
209,17-03-2023 21:37,1009,1,NULL,0
210,18-03-2023 00:38,1009,2,NULL,0
211,18-03-2023 14:07,1009,3,NULL,0
212,19-03-2023 03:45,1009,4,NULL,0
213,19-03-2023 09:55,1009,5,3137,0
214,19-03-2023 14:14,1009,6,3137,0
215,19-03-2023 16:40,1009,7,3137,0
216,20-03-2023 08:08,1009,8,3137,0
217,20-03-2023 23:32,1009,9,3137,0
218,21-03-2023 19:10,1009,10,3137,0
219,23-03-2023 15:55,1009,11,3137,0
220,24-03-2023 00:11,1009,12,3137,0
221,24-03-2023 18:32,1009,13,3137,0
222,24-03-2023 21:04,1009,14,3137,0
223,25-03-2023 13:16,1009,15,3137,0
224,25-03-2023 21:38,1009,16,3137,0
225,26-03-2023 06:57,1009,17,3137,0
226,28-03-2023 03:07,1009,18,3137,0
227,29-03-2023 09:15,1009,19,3137,0
228,31-03-2023 03:19,1009,20,3137,0
229,02-04-2023 03:08,1009,21,3137,0
230,03-04-2023 23:27,1009,22,3137,0
231,05-04-2023 20:37,1009,23,3137,0
232,07-04-2023 07:42,1009,24,3137,0
235,08-03-2023 22:18,1010,1,NULL,14
236,09-03-2023 09:02,1010,2,NULL,14
237,10-03-2023 10:19,1010,3,NULL,14
238,10-03-2023 18:20,1010,4,NULL,14
239,10-03-2023 21:14,1010,5,3120,14
240,12-03-2023 18:39,1010,6,3120,14
241,14-03-2023 09:02,1010,7,3120,14
242,16-03-2023 07:04,1010,8,3120,14
243,18-03-2023 02:12,1010,9,3120,14
244,19-03-2023 17:53,1010,10,3120,14
245,20-03-2023 22:51,1010,11,3120,14
261,01-03-2023 03:55,1011,1,NULL,14
262,01-03-2023 23:43,1011,2,NULL,14
263,02-03-2023 16:45,1011,3,NULL,14
264,04-03-2023 01:01,1011,4,NULL,14
265,05-03-2023 09:18,1011,5,3123,14
266,07-03-2023 05:51,1011,6,3123,14
267,08-03-2023 23:43,1011,7,3123,14
268,09-03-2023 21:39,1011,8,3123,14
269,11-03-2023 20:04,1011,9,3123,14
270,13-03-2023 05:30,1011,10,3123,14
271,13-03-2023 14:22,1011,11,3123,14
272,13-03-2023 22:45,1011,12,3123,14
287,08-03-2023 07:26,1012,1,NULL,11
288,09-03-2023 07:05,1012,2,NULL,11
289,10-03-2023 11:51,1012,3,NULL,11
290,11-03-2023 07:33,1012,4,NULL,11
291,12-03-2023 08:07,1012,5,3102,11
292,12-03-2023 18:41,1012,6,3102,11
293,13-03-2023 01:10,1012,7,3102,11
294,14-03-2023 23:55,1012,8,3102,11
295,15-03-2023 02:28,1012,9,3102,11
296,16-03-2023 17:08,1012,10,3102,11
297,17-03-2023 04:50,1012,11,3102,11
298,18-03-2023 02:16,1012,12,3102,11
299,18-03-2023 16:20,1012,13,3102,11
300,18-03-2023 22:07,1012,14,3102,11
301,19-03-2023 14:04,1012,15,3102,11
302,21-03-2023 00:20,1012,16,3102,11
303,21-03-2023 12:43,1012,17,3102,11
313,18-03-2023 19:51,1013,1,NULL,13
314,19-03-2023 09:29,1013,2,NULL,13
315,21-03-2023 07:40,1013,3,NULL,13
316,23-03-2023 07:33,1013,4,NULL,13
317,23-03-2023 17:02,1013,5,3114,13
318,23-03-2023 18:33,1013,6,3114,13
319,25-03-2023 11:44,1013,7,3114,13
320,26-03-2023 09:06,1013,8,3114,13
321,27-03-2023 21:16,1013,9,3114,13
322,29-03-2023 09:52,1013,10,3114,13
323,30-03-2023 21:56,1013,11,3114,13
324,01-04-2023 07:33,1013,12,3114,13
339,02-03-2023 11:49,1014,1,NULL,11
340,03-03-2023 22:29,1014,2,NULL,11
341,05-03-2023 20:36,1014,3,NULL,11
342,05-03-2023 21:17,1014,4,NULL,11
343,06-03-2023 00:02,1014,5,3104,11
344,06-03-2023 14:54,1014,6,3104,11
345,07-03-2023 00:38,1014,7,3104,11
346,07-03-2023 02:09,1014,8,3104,11
347,07-03-2023 08:35,1014,9,3104,11
348,09-03-2023 06:05,1014,10,3104,11
349,09-03-2023 11:02,1014,11,3104,11
350,09-03-2023 11:10,1014,12,3104,11
351,10-03-2023 07:49,1014,13,3104,11
352,11-03-2023 08:13,1014,14,3104,11
353,12-03-2023 00:01,1014,15,3104,11
354,13-03-2023 14:41,1014,16,3104,11
355,14-03-2023 11:18,1014,17,3104,11
356,14-03-2023 12:58,1014,18,3104,11
357,15-03-2023 04:37,1014,19,3104,11
358,16-03-2023 10:57,1014,20,3104,11
359,17-03-2023 01:26,1014,21,3104,11
360,18-03-2023 03:25,1014,22,3104,11
361,20-03-2023 02:22,1014,23,3104,11
362,21-03-2023 00:28,1014,24,3104,11
363,22-03-2023 11:55,1014,25,3104,11
364,22-03-2023 12:47,1014,26,3104,11
365,08-03-2023 01:35,1015,1,NULL,14
366,08-03-2023 17:24,1015,2,NULL,14
367,10-03-2023 06:13,1015,3,NULL,14
368,11-03-2023 20:21,1015,4,NULL,14
369,12-03-2023 21:57,1015,5,3116,14
370,14-03-2023 13:29,1015,6,3116,14
371,16-03-2023 02:02,1015,7,3116,14
372,17-03-2023 00:53,1015,8,3116,14
373,18-03-2023 03:21,1015,9,3116,14
374,18-03-2023 15:53,1015,10,3116,14
375,19-03-2023 16:27,1015,11,3116,14
376,20-03-2023 01:32,1015,12,3116,14
377,21-03-2023 07:40,1015,13,3116,14
378,22-03-2023 11:18,1015,14,3116,14
379,24-03-2023 09:21,1015,15,3116,14
380,24-03-2023 22:10,1015,16,3116,14
381,26-03-2023 15:42,1015,17,3116,14
382,27-03-2023 01:05,1015,18,3116,14
383,27-03-2023 16:47,1015,19,3116,14
384,28-03-2023 09:34,1015,20,3116,14
385,28-03-2023 23:48,1015,21,3116,14
386,29-03-2023 05:21,1015,22,3116,14
387,30-03-2023 20:19,1015,23,3116,14
388,31-03-2023 10:06,1015,24,3116,14
391,14-03-2023 09:31,1016,1,NULL,14
417,17-03-2023 00:21,1017,1,NULL,16
418,18-03-2023 06:09,1017,2,NULL,16
419,19-03-2023 13:14,1017,3,NULL,16
420,21-03-2023 10:17,1017,4,NULL,16
421,21-03-2023 21:14,1017,5,3129,16
422,22-03-2023 10:53,1017,6,3129,16
423,22-03-2023 20:21,1017,7,3129,16
424,24-03-2023 16:25,1017,8,3129,16
425,25-03-2023 00:09,1017,9,3129,16
426,25-03-2023 15:29,1017,10,3129,16
427,27-03-2023 09:09,1017,11,3129,16
428,28-03-2023 21:41,1017,12,3129,16
429,29-03-2023 08:03,1017,13,3129,16
443,22-03-2023 07:16,1018,1,NULL,11
444,22-03-2023 20:38,1018,2,NULL,11
445,24-03-2023 01:43,1018,3,NULL,11
446,24-03-2023 17:05,1018,4,NULL,11
447,25-03-2023 19:43,1018,5,3107,11
448,27-03-2023 07:27,1018,6,3107,11
449,28-03-2023 02:51,1018,7,3107,11
450,28-03-2023 16:35,1018,8,3107,11
451,29-03-2023 19:00,1018,9,3107,11
452,29-03-2023 20:26,1018,10,3107,11
453,31-03-2023 19:25,1018,11,3107,11
454,02-04-2023 08:32,1018,12,3107,11
455,03-04-2023 20:40,1018,13,3107,11
456,05-04-2023 15:46,1018,14,3107,11
457,07-04-2023 08:08,1018,15,3107,11
469,29-03-2023 07:34,1019,1,NULL,11
470,29-03-2023 10:51,1019,2,NULL,11
471,30-03-2023 22:23,1019,3,NULL,11
472,31-03-2023 11:58,1019,4,NULL,11
473,01-04-2023 14:37,1019,5,3102,11
474,03-04-2023 12:11,1019,6,3102,11
475,05-04-2023 06:04,1019,7,3102,11
476,05-04-2023 20:29,1019,8,3102,11
477,07-04-2023 11:00,1019,9,3102,11
478,07-04-2023 23:17,1019,10,3102,11
479,08-04-2023 10:48,1019,11,3102,11
480,09-04-2023 23:45,1019,12,3102,11
481,10-04-2023 08:03,1019,13,3102,11
482,11-04-2023 20:43,1019,14,3102,11
483,11-04-2023 23:12,1019,15,3102,11
484,13-04-2023 03:01,1019,16,3102,11
485,13-04-2023 12:29,1019,17,3102,11
486,14-04-2023 04:21,1019,18,3102,11
495,04-03-2023 20:30,1020,1,NULL,17
496,05-03-2023 03:49,1020,2,NULL,17
497,05-03-2023 06:16,1020,3,NULL,17
498,06-03-2023 06:00,1020,4,NULL,17
499,07-03-2023 17:37,1020,5,3132,17
500,09-03-2023 15:10,1020,6,3132,17
501,10-03-2023 05:06,1020,7,3132,17
502,11-03-2023 12:18,1020,8,3132,17
503,11-03-2023 19:53,1020,9,3132,17
504,12-03-2023 21:15,1020,10,3132,17
505,14-03-2023 07:05,1020,11,3132,17
506,14-03-2023 07:27,1020,12,3132,17
507,14-03-2023 14:13,1020,13,3132,17
508,15-03-2023 23:43,1020,14,3132,17
509,16-03-2023 05:16,1020,15,3132,17
510,18-03-2023 03:23,1020,16,3132,17
511,18-03-2023 05:33,1020,17,3132,17
512,18-03-2023 06:44,1020,18,3132,17
513,18-03-2023 18:09,1020,19,3132,17
514,19-03-2023 16:22,1020,20,3132,17
515,20-03-2023 08:03,1020,21,3132,17
516,20-03-2023 15:42,1020,22,3132,17
521,20-03-2023 13:47,1021,1,NULL,15
522,21-03-2023 20:44,1021,2,NULL,15
523,23-03-2023 18:43,1021,3,NULL,15
524,25-03-2023 13:06,1021,4,NULL,15
525,27-03-2023 09:26,1021,5,3126,15
526,27-03-2023 17:55,1021,6,3126,15
527,29-03-2023 12:54,1021,7,3126,15
528,31-03-2023 09:39,1021,8,3126,15
529,01-04-2023 14:36,1021,9,3126,15
530,02-04-2023 15:51,1021,10,3126,15
531,03-04-2023 13:33,1021,11,3126,15
532,04-04-2023 15:17,1021,12,3126,15
533,06-04-2023 13:40,1021,13,3126,15
534,08-04-2023 08:31,1021,14,3126,15
535,08-04-2023 20:05,1021,15,3126,15
536,09-04-2023 09:09,1021,16,3126,15
537,09-04-2023 16:11,1021,17,3126,15
538,10-04-2023 05:19,1021,18,3126,15
539,11-04-2023 16:21,1021,19,3126,15
540,12-04-2023 22:15,1021,20,3126,15
547,12-03-2023 16:20,1022,1,NULL,14
548,13-03-2023 07:47,1022,2,NULL,14
549,14-03-2023 07:38,1022,3,NULL,14
550,14-03-2023 12:20,1022,4,NULL,14
551,15-03-2023 20:27,1022,5,3122,14
552,15-03-2023 21:58,1022,6,3122,14
553,16-03-2023 02:50,1022,7,3122,14
554,17-03-2023 05:58,1022,8,3122,14
555,18-03-2023 20:51,1022,9,3122,14
556,19-03-2023 18:14,1022,10,3122,14
557,20-03-2023 05:24,1022,11,3122,14
558,21-03-2023 09:36,1022,12,3122,14
559,21-03-2023 23:20,1022,13,3122,14
560,23-03-2023 16:05,1022,14,3122,14
573,23-03-2023 00:07,1023,1,NULL,11
574,24-03-2023 10:33,1023,2,NULL,11
575,26-03-2023 04:51,1023,3,NULL,11
576,26-03-2023 06:30,1023,4,NULL,11
577,27-03-2023 10:44,1023,5,3102,11
578,28-03-2023 20:42,1023,6,3102,11
579,29-03-2023 12:45,1023,7,3102,11
580,30-03-2023 19:43,1023,8,3102,11
581,30-03-2023 20:49,1023,9,3102,11
582,01-04-2023 00:53,1023,10,3102,11
583,01-04-2023 12:22,1023,11,3102,11
584,03-04-2023 12:12,1023,12,3102,11
585,04-04-2023 09:31,1023,13,3102,11
586,05-04-2023 12:46,1023,14,3102,11
587,05-04-2023 13:27,1023,15,3102,11
599,09-03-2023 04:29,1024,1,NULL,14
600,11-03-2023 02:12,1024,2,NULL,14
601,12-03-2023 04:49,1024,3,NULL,14
602,13-03-2023 19:26,1024,4,NULL,14
603,14-03-2023 12:02,1024,5,3123,14
604,15-03-2023 06:29,1024,6,3123,14
605,15-03-2023 18:12,1024,7,3123,14
606,16-03-2023 10:04,1024,8,3123,14
607,16-03-2023 16:47,1024,9,3123,14
608,17-03-2023 13:38,1024,10,3123,14
609,18-03-2023 04:42,1024,11,3123,14
610,19-03-2023 22:47,1024,12,3123,14
611,21-03-2023 19:45,1024,13,3123,14
612,22-03-2023 08:11,1024,14,3123,14
613,22-03-2023 22:33,1024,15,3123,14
614,24-03-2023 04:24,1024,16,3123,14
615,25-03-2023 19:32,1024,17,3123,14
616,25-03-2023 23:09,1024,18,3123,14
617,26-03-2023 14:37,1024,19,3123,14
618,28-03-2023 10:06,1024,20,3123,14
619,30-03-2023 08:58,1024,21,3123,14
620,31-03-2023 11:41,1024,22,3123,14
621,01-04-2023 16:44,1024,23,3123,14
622,03-04-2023 09:47,1024,24,3123,14
623,03-04-2023 18:46,1024,25,3123,14
625,10-03-2023 00:41,1025,1,NULL,11
626,10-03-2023 01:02,1025,2,NULL,11
627,10-03-2023 19:49,1025,3,NULL,11
628,12-03-2023 15:26,1025,4,NULL,11
629,12-03-2023 17:51,1025,5,3106,11
630,13-03-2023 07:47,1025,6,3106,11
631,13-03-2023 08:30,1025,7,3106,11
632,15-03-2023 00:54,1025,8,3106,11
633,15-03-2023 07:01,1025,9,3106,11
634,17-03-2023 00:45,1025,10,3106,11
635,18-03-2023 01:00,1025,11,3106,11
636,18-03-2023 20:21,1025,12,3106,11
637,19-03-2023 11:11,1025,13,3106,11
638,20-03-2023 07:32,1025,14,3106,11
639,20-03-2023 14:26,1025,15,3106,11
640,21-03-2023 18:23,1025,16,3106,11
641,23-03-2023 09:06,1025,17,3106,11
642,25-03-2023 05:04,1025,18,3106,11
643,25-03-2023 10:09,1025,19,3106,11
644,26-03-2023 14:50,1025,20,3106,11
645,27-03-2023 09:35,1025,21,3106,11
646,27-03-2023 12:41,1025,22,3106,11
647,27-03-2023 13:53,1025,23,3106,11
648,28-03-2023 22:08,1025,24,3106,11
649,30-03-2023 00:11,1025,25,3106,11
651,30-03-2023 01:29,1026,1,NULL,16
652,31-03-2023 19:54,1026,2,NULL,16
653,02-04-2023 18:27,1026,3,NULL,16
654,03-04-2023 23:06,1026,4,NULL,16
655,05-04-2023 12:11,1026,5,3128,16
656,06-04-2023 00:02,1026,6,3128,16
657,06-04-2023 03:54,1026,7,3128,16
658,06-04-2023 12:05,1026,8,3128,16
659,08-04-2023 09:26,1026,9,3128,16
660,09-04-2023 23:53,1026,10,3128,16
661,11-04-2023 09:28,1026,11,3128,16
677,31-03-2023 03:55,1027,1,NULL,11
678,31-03-2023 09:49,1027,2,NULL,11
679,02-04-2023 06:02,1027,3,NULL,11
680,02-04-2023 12:53,1027,4,NULL,11
681,04-04-2023 09:16,1027,5,3101,11
682,05-04-2023 16:03,1027,6,3101,11
683,06-04-2023 10:50,1027,7,3101,11
684,07-04-2023 18:55,1027,8,3101,11
685,08-04-2023 15:34,1027,9,3101,11
686,09-04-2023 12:01,1027,10,3101,11
687,11-04-2023 07:51,1027,11,3101,11
688,12-04-2023 03:57,1027,12,3101,11
689,14-04-2023 01:58,1027,13,3101,11
703,08-03-2023 22:30,1028,1,NULL,11
704,10-03-2023 06:30,1028,2,NULL,11
705,10-03-2023 14:20,1028,3,NULL,11
706,11-03-2023 04:20,1028,4,NULL,11
707,13-03-2023 00:00,1028,5,3106,11
708,14-03-2023 08:26,1028,6,3106,11
709,14-03-2023 10:10,1028,7,3106,11
710,14-03-2023 23:33,1028,8,3106,11
729,12-03-2023 02:54,1029,1,NULL,15
730,12-03-2023 13:02,1029,2,NULL,15
731,13-03-2023 16:59,1029,3,NULL,15
732,13-03-2023 21:38,1029,4,NULL,15
733,14-03-2023 05:41,1029,5,3125,15
734,14-03-2023 09:39,1029,6,3125,15
735,15-03-2023 14:50,1029,7,3125,15
736,15-03-2023 20:53,1029,8,3125,15
737,17-03-2023 07:31,1029,9,3125,15
738,17-03-2023 12:40,1029,10,3125,15
739,18-03-2023 22:54,1029,11,3125,15
755,21-03-2023 21:46,1030,1,NULL,14
756,22-03-2023 02:06,1030,2,NULL,14
757,22-03-2023 23:19,1030,3,NULL,14
758,23-03-2023 09:55,1030,4,NULL,14
759,25-03-2023 04:25,1030,5,3119,14
760,26-03-2023 20:21,1030,6,3119,14
761,28-03-2023 05:58,1030,7,3119,14
762,30-03-2023 03:58,1030,8,3119,14
763,30-03-2023 15:52,1030,9,3119,14
764,30-03-2023 17:15,1030,10,3119,14
765,31-03-2023 17:01,1030,11,3119,14
766,01-04-2023 18:12,1030,12,3119,14
767,02-04-2023 13:43,1030,13,3119,14
768,03-04-2023 07:05,1030,14,3119,14
769,03-04-2023 12:31,1030,15,3119,14
770,03-04-2023 21:30,1030,16,3119,14
771,05-04-2023 03:01,1030,17,3119,14
772,05-04-2023 14:14,1030,18,3119,14
773,06-04-2023 17:08,1030,19,3119,14
774,06-04-2023 20:17,1030,20,3119,14
775,08-04-2023 07:57,1030,21,3119,14
776,09-04-2023 05:15,1030,22,3119,14
777,09-04-2023 11:53,1030,23,3119,14
778,11-04-2023 08:47,1030,24,3119,14
781,13-03-2023 12:24,1031,1,NULL,13
782,14-03-2023 11:48,1031,2,NULL,13
783,15-03-2023 11:16,1031,3,NULL,13
784,16-03-2023 18:59,1031,4,NULL,13
785,17-03-2023 22:01,1031,5,3112,13
786,19-03-2023 01:10,1031,6,3112,13
787,21-03-2023 00:12,1031,7,3112,13
788,21-03-2023 20:08,1031,8,3112,13
807,05-03-2023 02:42,1032,1,NULL,11
808,05-03-2023 23:13,1032,2,NULL,11
809,07-03-2023 10:58,1032,3,NULL,11
810,08-03-2023 04:07,1032,4,NULL,11
811,08-03-2023 07:58,1032,5,3104,11
812,09-03-2023 18:02,1032,6,3104,11
813,11-03-2023 15:56,1032,7,3104,11
814,13-03-2023 02:56,1032,8,3104,11
815,13-03-2023 18:30,1032,9,3104,11
816,15-03-2023 05:18,1032,10,3104,11
817,16-03-2023 09:39,1032,11,3104,11
818,17-03-2023 12:52,1032,12,3104,11
819,19-03-2023 03:16,1032,13,3104,11
820,19-03-2023 12:34,1032,14,3104,11
833,03-03-2023 13:41,1033,1,NULL,16
834,03-03-2023 20:52,1033,2,NULL,16
835,04-03-2023 07:33,1033,3,NULL,16
836,06-03-2023 01:01,1033,4,NULL,16
837,07-03-2023 21:44,1033,5,3128,16
838,08-03-2023 20:55,1033,6,3128,16
839,09-03-2023 01:35,1033,7,3128,16
840,09-03-2023 05:32,1033,8,3128,16
841,10-03-2023 11:40,1033,9,3128,16
842,10-03-2023 13:28,1033,10,3128,16
843,10-03-2023 22:50,1033,11,3128,16
844,12-03-2023 19:49,1033,12,3128,16
845,14-03-2023 04:24,1033,13,3128,16
846,15-03-2023 20:14,1033,14,3128,16
847,15-03-2023 20:50,1033,15,3128,16
848,17-03-2023 17:35,1033,16,3128,16
849,17-03-2023 19:24,1033,17,3128,16
850,18-03-2023 17:45,1033,18,3128,16
859,18-03-2023 14:11,1034,1,NULL,16
860,20-03-2023 05:17,1034,2,NULL,16
861,21-03-2023 22:30,1034,3,NULL,16
862,22-03-2023 03:23,1034,4,NULL,16
863,22-03-2023 07:46,1034,5,3127,16
864,23-03-2023 12:40,1034,6,3127,16
865,25-03-2023 09:06,1034,7,3127,16
885,01-04-2023 15:31,1035,1,NULL,13
886,02-04-2023 09:06,1035,2,NULL,13
887,03-04-2023 10:46,1035,3,NULL,13
888,04-04-2023 14:53,1035,4,NULL,13
889,05-04-2023 00:43,1035,5,3114,13
890,06-04-2023 11:29,1035,6,3114,13
891,07-04-2023 04:11,1035,7,3114,13
892,07-04-2023 17:05,1035,8,3114,13
893,09-04-2023 00:23,1035,9,3114,13
894,10-04-2023 23:48,1035,10,3114,13
895,11-04-2023 12:20,1035,11,3114,13
896,12-04-2023 19:20,1035,12,3114,13
897,13-04-2023 12:59,1035,13,3114,13
898,15-04-2023 09:13,1035,14,3114,13
899,16-04-2023 06:23,1035,15,3114,13
900,17-04-2023 01:46,1035,16,3114,13
901,17-04-2023 11:46,1035,17,3114,13
902,17-04-2023 23:12,1035,18,3114,13
903,18-04-2023 02:28,1035,19,3114,13
904,19-04-2023 21:17,1035,20,3114,13
905,21-04-2023 20:33,1035,21,3114,13
906,22-04-2023 18:15,1035,22,3114,13
907,23-04-2023 17:11,1035,23,3114,13
908,25-04-2023 11:17,1035,24,3114,13
911,03-03-2023 07:53,1036,1,NULL,20
912,05-03-2023 00:17,1036,2,NULL,20
913,06-03-2023 08:10,1036,3,NULL,20
914,06-03-2023 12:19,1036,4,NULL,20
915,07-03-2023 00:07,1036,5,3134,20
916,08-03-2023 06:48,1036,6,3134,20
917,09-03-2023 07:27,1036,7,3134,20
918,10-03-2023 03:33,1036,8,3134,20
919,10-03-2023 06:58,1036,9,3134,20
920,11-03-2023 23:58,1036,10,3134,20
921,13-03-2023 20:41,1036,11,3134,20
922,15-03-2023 16:39,1036,12,3134,20
923,17-03-2023 04:12,1036,13,3134,20
924,18-03-2023 23:38,1036,14,3134,20
925,19-03-2023 12:05,1036,15,3134,20
926,20-03-2023 21:47,1036,16,3134,20
927,22-03-2023 00:46,1036,17,3134,20
928,24-03-2023 00:42,1036,18,3134,20
929,25-03-2023 06:25,1036,19,3134,20
930,25-03-2023 12:22,1036,20,3134,20
931,25-03-2023 21:41,1036,21,3134,20
932,27-03-2023 00:07,1036,22,3134,20
933,27-03-2023 21:09,1036,23,3134,20
934,28-03-2023 14:34,1036,24,3134,20
935,29-03-2023 20:38,1036,25,3134,20
936,30-03-2023 05:00,1036,26,3134,20
937,07-03-2023 01:28,1037,1,NULL,20
938,08-03-2023 09:40,1037,2,NULL,20
939,10-03-2023 01:29,1037,3,NULL,20
940,10-03-2023 22:23,1037,4,NULL,20
941,12-03-2023 05:01,1037,5,3133,20
942,13-03-2023 13:45,1037,6,3133,20
943,13-03-2023 14:10,1037,7,3133,20
944,14-03-2023 15:43,1037,8,3133,20
945,16-03-2023 00:39,1037,9,3133,20
946,17-03-2023 21:02,1037,10,3133,20
947,19-03-2023 07:47,1037,11,3133,20
948,19-03-2023 21:51,1037,12,3133,20
949,20-03-2023 06:01,1037,13,3133,20
950,21-03-2023 11:16,1037,14,3133,20
951,22-03-2023 19:23,1037,15,3133,20
952,22-03-2023 19:49,1037,16,3133,20
963,31-03-2023 23:54,1038,1,NULL,13
964,02-04-2023 22:35,1038,2,NULL,13
965,04-04-2023 17:40,1038,3,NULL,13
966,06-04-2023 17:29,1038,4,NULL,13
967,07-04-2023 19:17,1038,5,3112,13
968,08-04-2023 13:30,1038,6,3112,13
969,09-04-2023 13:41,1038,7,3112,13
970,09-04-2023 17:27,1038,8,3112,13
